label,sentence
0,DbM7 AbM7 Fm Adim DbM7 AbM7 Fm Fm Dbadd9 Eb Fm7 Ab/C Dbadd9 Eb
0,Fm7 Ab Dbadd9 Eb Fm7 Ab/C Dbadd9 Eb Fm7 DbM7 Ebsus4 Ab/C Db
0,DbM7 Ebsus4 Cm Db DbM7 Ebsus4 Ab/C Db DbM7 Ebsus4 Cm Db Bbm7
0,Db/Eb Fm9 Fm Fm9 Fm Bbm7 Eb7 Fm9 Fm AbM7 Ab Bbm7 Eb7/G Ab Fm Bbm7
1,E B/D# C#m7 B E B/D# C#m7 D#7 C#m7 D#7 G#sus4 G#m C#m7 D#7
1,G#sus4 G#m C#m7 D#7 G#sus4 G#m C#m7 D#7 G#m C#m7 D#7 G#m C#m7
1,D#7 G#m C#m7 D#7 G#m C#m7 D#7 G#m C#m7 D#7 G#m C#m7 D#7 G#m C#m7
1,D#7 G#m C#m7 D#7 G#m G#m7/F# EM7 B6/D# C#m7 BM7 EM7 D#m7 C#m7 G
1,E B/D# A/C# Bsus4 B E E E/D# E/C# E/B AM7 G# G#/B# C#sus4 C#m/B
1,C#m/A E/G# F# F#/E F#/D# F#/C# A/B B7 E E/D# E/C# E/B AM7 G#
1,G#/B# C#sus4 C#m/B C#m/A E/G# F# F#/E F#/D# F#/C# A/B B7 F#m7
1,F#m7/B EM7/C# EM7/B F#m7 F#m7/B EM7/C# F#m7 F#m7/B
1,CM9 B7 Bm7/E Em7 G7/F CM9 B7 Bm7/E Em7 G7/F CM9 B7 Bm7/E Em7
1,G7/F CM9 B7 Bm7/E Em7 G7/F CM9 B7 Bm7/E Em7 G7/F CM9 B7 Bm7/E
1,Em7 G7/F CM9 B7 Em9 Dm7 G7 Am7 Bm7 E9 EM9 CM9 B7 Em9 G7 Am7 B7 Em7
1,Ebm7 Dm7 G7 CM9 B7 Em9 A7 Am7 B7 Bm7/E Em7 CM9 B7 Em9 G7 Am7 B7 Em7
1,G D/F# B Em Bm/D Bm C G/B A G/D D C Cm G/B Cadd9 D Em G/B Cadd9 D G G/B
1,Cadd9 D Em G/B Cadd9 D G B Em Bm C G D/F# Em Bm C D G D G D/F# B Em G/D Bm
1,C G/B A G/D D G D/F# B Em G/D Bm C G/B A /B C# G/D D C Cm G D/F# B Em D Bm C
1,G/B A D G/B C D Em G/B Cadd9 D G G/B Cadd9 D Em G/B Cadd9 D G B Em Bm C G
0,Db Eb Cm F Db Eb C7/E Fm Db Eb Cm F Bbm7 Ebaug Eb Ab Cm Db Dbm/E Fm
0,Bb7 Db Dbm/E Gb Ab Cm Db Dbm/E Fm Bb7 Db Bbm7/Eb DbM7 Ab/C Bbm7
0,Ab DbM7 Ab/C Bbm7 Ebaug Ebaug E Gb Bbm7 Ebaug Eb Cm Fm Dm7-5 G7
0,Cm BM7 Bbm7 Bbm7/Eb Bbm7 Ebaug Eb Cm Fm Bbm7 Cm Db Bbm7/Eb E Gb
1,F#m Bm6/D F#m Bm6/D F#m Bm6/D F#m Bm6/D F#m Bm6/F# F#m Bm6/D
1,F#m Bm6/F# F#m Bm6/D F#m7 Em69 DM7 C#m7 DM7 Bm C#7sus4 C#7 F#m
1,E69 Bm7 D C#7 F#m C# F#m/C# C#7 F#m E69 Bm7 D C#7 F#m Bm7 C#m7 F#
1,F#m Bm6/D F#m Bm6/D F#m Bm6/D F#m Bm6/D F#m Bm6/F# F#m Bm6/D
1,D69 D69 A#aug Bm7 C7 D69 A#aug Bm7 C7 D69 A#aug Bm7 Am7 D7 GM7
1,A#aug Bm7 Am7 D7 GM7 F#m7 Bm7 Em7 G/A DM7 F#7/C# Bm7 Am7 D7 GM7
1,F#m7 Bm7 Em7 G/A DM7 F#7/C# Bm7 Am7 D7 GM7 F#m7 Bm7 GM7 F#m7 Bm7
1,GM7 F#m7 Bm7 Em7 A7 DM7 GM7 DM7 GM7 DM7 F#m7 Bm7 Em7 G/A GM7
0,Gm7 Bbadd9/D Eb F Bb Gm7 Bbadd9/D Eb F Bb Gm7 Bbadd9/D Eb F Bb
0,Gm7 Bb/D Eb6 F6 Bbadd9 Gm7 Bb/D Ebadd9 Bb Gm7 Bb/D Ebadd9
0,Fsus4 Gm7 Bb/D Ebadd9 Bb Gm7 Bb/D Eb6 F6 Bb Gm7 Bb/D Ebadd9 F Bb
0,Gm7 Bb/D Ebadd9 F Bb Gm7 Bb/D Ebadd9 F Bb Gm7 Bbadd9/D Ebadd9 F
1,G7 Gm7 D B7 G7 Gm7 D B7 G7 Gm7 C7 B7 Bb7 A7 F#7/A# Bm A/C# D E G F#m
1,Em7 Em7/A F#7/A# Bm A/C# D E G F# Em7 Em7/A F#7/A# Bm A/C# D E G
1,F#m Em7 Em7/A F#7/A# Bm A/C# D E G F# Em7 F#7sus4 F#7 GM7 F#7 F#7
1,GM7 F#7 F#7 Em7 D/F# A Fm7/Bb Eb F Dm7 Gm7 Eb D7 Gm Fm Bb9 Eb F Dm7
0,F Ebadd9 Dm Dbaug F Ebadd9 Dm Dbaug F Ebadd9 Dm Dbaug F Ebadd9
0,Dm Dbaug F Ebadd9 Dm Dbaug Am7 Dm7 Bb C F Ebadd9 Dm Dbaug Am7 Dm7
0,Bb C F Ebadd9 Dm Dbaug Am7 Dm7 Bb C F Ebadd9 Dm Dbaug Am7 Dm7 Bb C B
0,Bb Bbm Am7 Dm7 Bb Bbm Am7 D7 Bb Bbm Am7 Dm7 C Gm Am Bb C BbM7 Am7 Dm7
0,Em7 Bm7 CM7 Em7 Bm7 CM7 Em7 Bm7 CM7 Em7 Bm7 CM7 Gadd9 CM7 Gadd9
0,CM7 G CM7 G D/F# Em Bm Am7 D7 D G CM7 G G D/F# Em Bm Am7 D D#dim Em Bm C
0,G D/F# Em Bm Am7 Dsus4 D G D/F# Em Em7/D C G/B Am D D#dim Em
0,EmM7/D# Em7/D C#m7-5 Am7 Dsus4 Gadd9 CM7 Gadd9 CM7 G CM7 G
1,G#m/B A9 C#m9 D#7 G#m7 B9 Fm7-5 EM7 A#m7-5 D#7 C#m9 D#7 G#m7 B9
1,Fm7-5 EM7 D#aug7 C#m9 D#7 G#m7 B7 Fm7-5 EM7 A#m7-5 D#7 A# C#m9
1,D#7 G#m7 B7 Fm7-5 EM7 D#7 G# C#m9 D#7 G#m7 B9 Fm7-5 EM7 A#m7-5
1,D#7 C#m9 D#7 G#m7 G7-5 F#m7 B7 Fm7-5 EM7 D#7 Ddim7 C#m9 C7 B9
0,E Gb Ebm Ab Dm-5 Dbadd9 Abadd9/C Bbm7 Ebm Ab7sus4 Ab7 Dbadd9
0,Abadd9/C Bbm7 Ebsus4 Eb Ebsus4 E Gb Ab C7 Db Dbm/E Fm Db Ab/C
0,Bbm7 Bbm7/Eb Ab C7 Db Dbm/E Fm Db Ab/C Bbm7 Bbm7/Eb Cm Fm Bbm7
0,Bbm7/Eb Cm Fm Bbm7 Bbm7/Eb Cm Fm Ebm Ebm/Ab DbM7 Ab/C Bbm7
0,Ab/C DbM7 Bbm7/Eb Ab Eb/G Fm7 Ab/Eb Db Ab/C Bbm7 Ebsus4 Eb Ab
0,Eb/G Fm7 Ebm7 Ab7 DbM7 Bb7/Eb Dbm/Ab Ab Ebm7 Ab7 Ab7 DbM7 GbM7
0,Gm7-5 C7 F7 AbM7 Bb Gm7-5 C7 Fm7 F7/A Fm7/Bb Fm7/Bb Bb AbM7/Bb
0,Bb7 EbM7 Fm7 Eb/G Bbm7 Eb7 Ab Abm Gm7-5 C7 Fm7 Fm7/Bb Bb
1,B EM7 D# G#m C#m7 B/D# Em B D#m EM7 D# G#m C#m7 E/F# B D#m EM7 D#
1,G#m G#m7 F#m9 AM7/B B7 E B/D# C#m7 B E B/D# C#m7 F#m7 B7 E E/F# F#
1,D#m D#m/G# G#m7 C#m7 C#m7/F# F#m7 F#m7/B B7 E E/F# F# D#m
1,D#m/G# G#m7 C#m7 C#m7/F# B EM7 D#7 G#m C#m7 B/D# Em9 B D#m7 EM7
1,Dadd9 DM7 D Dadd9 DM7 D Dadd9 DM7 D D A/C# Bm7 F#m GM7 D/F# GM7 A D
1,A/C# Bm A G D/F# G Asus4 A D A/C# Bm7 A G D/F# G Asus4 A Bm7 F#m G A D
1,A/C# Bm7 Asus4 A G D/F# Bm7 G Asus4 D A/C# Bm7 Asus4 A G D/F# Bm7 G
1,A D A D A/C# Bm7 A G D/F# G Asus4 A Bm7 F#m G A A D A/C# Bm7 Asus4 A G
0,Eb Db Eb Db Eb Gb Ab Gb Eb Db Eb Db Eb Bb Ab Bb Db D Eb Db Eb Db Eb Gb Ab
0,Gb Eb Db Eb Db Eb Db Eb Eb Eb Ab Abm7 Gm7 Cm7 Db Fm7 Bb7 Eb EbM7 Eb7
0,AbM7 Abm7 Gm7 GbM7 Fm7 EM7 Eb EbM7 Eb7 AbM7 Abm7 Gm7 GbM7 Fm7
0,Bb7 EbM7 EbM7 EbM7 EbM7 Db EM7 EbM7 Db EM7 EbM7 AbM7 Gm7 GbM7
0,Eb Bb/D Cm7 Gm/Bb Ab G7 Ab Bb Eb Eb Eb Bb/D Cm7 Bb Ab G7 Ab Bb AbM7
0,Gm Cm7 Fm7 Bb7 AbM7 Gm7 Cm7 Fm7 Bb7 Eb Bb/D Cm7 Bb Ab G7 Cm7 Bb7 Eb
0,Bb/D Cm7 Bb Ab G7 Ab Bb Eb Eb AbM7 Gm Cm7 Fm7 Bb7 AbM7 Gm Cm7 Fm7
0,Bb7 Eb Bb Cm7 Bb Ab G7 Cm7 Bb7 Eb Bb Cm7 Bb Ab G7 Fm7 Bb7 Eb Eb7 Ab
0,Csus4 Fsus4 F C9sus4 C69sus4 Bb/D D Am Am Bb BbM7 Fsus4 F Bb
0,BbM7 C F Dm Bb C F F Dm Bb C F Dm7 BbM7 C F Fsus4 F F Dm7 Bb C Dm7 F Bb
0,C7sus4 Dm7 C69sus4 F C7 Dm7 Am7 Bb F Bb C F C7 Dm7 Am7 Bb F Bb C F F F
0,Dm7 BbM7 C7 F F Dm7 BbM7 C F Dm7 Bb C FM9 FM9sus4 FM9 F Dm7 Bb C Dm7 F
0,Ab Eb Db C Bbm7 Bbm7/Eb Ab Absus4 Ab Ab Eb Db Ab Db Ab Bbm Db/Eb Eb
0,Ab Eb Db Ab Db Ab Bbm Bbm7/Eb Ab Db/Eb Ab Cm7 Fm7 Ab/Eb Dbadd9 Ab
0,Db/Ab Ab Cm7 C7/E Fm7 Ab/Eb Bb/D Bb Db/Eb Eb Db/F Eb/G Ab Eb Db
0,Ab Db Ab/C Bbm7 Eb Ab Eb Db C7 Bbm7 Db/Eb Ab Db/Eb Ab Ab Eb Db C7
0,DbM7 Ab/C Bbm7 AbM7 DbM7 Ab/C Bbm7 Db/Eb AbM7 DbM7 Ab/C Bbm7
0,Db/Eb AbM7 DbM7 Ab/C Bbm7 Db/Eb AbM7 Fm Ebm7 DbM7 Ab/C Bbm7
0,Db/Eb AbM7 Fm Ebm7 DbM7 Ab/C Dbm7 Ebm7 Ebadd9 AbM7 Ab/C Fm7
0,Ebm7 Ab7 DbM7 Ab/C Bbm7 Db/Eb AbM7 Ab/C Fm7 Ebm7 Ab7 DbM7 Ab/C
0,Ab Dbadd9 Absus4 Bbm7 Dbadd9 Bbm7 Fm7 Gb Ab Dbadd9 Absus4 Db
